Location,Latitude,Longitude
Adelaide,-34.934399,138.541505
Alice Springs,-23.80078,133.899471
Andamooka,-30.43713,137.138775
Bairnsdale,-37.888402,147.56651
Bankstown,-33.9164078,150.9916975
Bendigo,-36.7433107,144.3170437
Brisbane,-27.3739966,153.1226313
Broken Hill,-31.9988296,141.4702365
Broome,-17.9472338,122.2323986
Bundaberg,-24.8955752,152.3197715
Cairns,-16.8818417,145.7480658
Charleville,-26.4182437,146.2572261
Dubbo,-32.21630507,148.5713217
Echuca,-36.16343467,144.7642352
Essendon,-37.755348,144.917298
Horsham,-36.7407938,142.2152509
Jandakot,-32.093375,115.879601
Kalgoorlie,-30.785379,121.4579799
Kyneton,-37.22644624,144.4474053
Launceston,-41.5499451,147.2111756
Longreach,-23.4377341,144.2741776
Marla,-27.32676353,133.629498
Marree,-29.65791918,138.0702246
Meekatharra,-26.6110138,118.5459084
Mildura,-34.2335786,142.0851672
Mitcham,-37.8187521,145.1914606
Morwell,-38.21228805,146.4728165
Mount Isa,-20.66811763,139.4923172
Port Augusta,-32.5094785,137.7188641
Port Hedland,-20.37697508,118.6309397
Darwin,-12.409959,130.8843271
Richmond,-37.818751,145.0016709
Rockhampton,-23.3728683,150.475548
Roma,-26.5439832,148.7792139
Sale,-38.0932293,146.9664459
Shepparton,-36.4266759,145.3905143
Stawell,-37.06902067,142.7407209
Tamworth,-31.0844541,150.8483738
Taree,-31.8903101,152.5093015
Townsville,-19.2529253,146.7730751
Wangaratta,-36.417427,146.3061676
Warragul,-38.2089609,145.8316522
Warrnambool,-38.2992745,142.4494047
Wodonga,-36.0694684,146.9546249
Wollongong,-34.560358,150.7904758
Wonthaggi,-38.6127138,145.7344835